M_1,Y_1,X1_1,X2_1,X3_1
2000/01/01,530.283,2532.443,97043.237,5756.946
2000/02/01,496.22,2340.654,88029.479,5708.126
2000/03/01,487.136,2085.459,86379.33,5518.156
2000/04/01,446.957,1827.336,78212.149,5134.247
2000/05/01,470.205,1736.144,85275.298,5927.42
2000/06/01,473.76,1615.904,92577.183,6179.516
2000/07/01,487.962,1671.158,96419.551,5842.751
2000/08/01,510.342,1813.262,99791.091,6350.536
2000/09/01,462.835,1563.151,89049.419,6239.402
2000/10/01,469.547,1610.054,88309.091,5793.082
2000/11/01,476.801,1928.879,87678.809,5313.029
2000/12/01,555.769,2608.675,95330.237,6098.876
2001/01/01,554.963,2676.998,96896.583,6317.782
2001/02/01,484.171,2309.464,83772.227,5760.399
2001/03/01,508.493,2246.633,86499.188,5839.173
2001/04/01,457.541,1807.17,78371.593,5924.345
2001/05/01,459.055,1522.382,84604.868,5728.489
2001/06/01,457.108,1444.378,90024.609,5863.065
2001/07/01,492.407,1598.071,99156.536,5836.152
2001/08/01,501.667,1669.178,101105.371,6272.129
2001/09/01,444.193,1494.128,86705.072,5726.467
2001/10/01,461.525,1649.073,83511.233,6025.804
2001/11/01,450.875,1700.95,81013.457,5704.648
2001/12/01,494.054,2120.198,88484.795,5333.465
2002/01/01,520.218,2487.638,90003.707,5765.026
2002/02/01,463.906,2242.427,79568.765,5543.016
2002/03/01,496.917,2258.431,83394.611,5670.342
2002/04/01,459.166,1880.985,78688.328,5580.261
2002/05/01,460.092,1611.453,83658.24,5713.206
2002/06/01,465.88,1591.373,90613.311,5797.552
2002/07/01,501.492,1748.435,99977.291,6050.584
2002/08/01,499.386,1725.712,99012.333,6066.517
2002/09/01,460.58,1542.17,91304.887,5898.857
2002/10/01,470.209,1645.873,88469.273,5721.068
2002/11/01,481.01,1913.629,87015.673,5669.322
2002/12/01,528.9,2378.895,94648.155,5337.771
2003/01/01,552.51,2700.545,99026.1,6089.942
2003/02/01,504.312,2500.315,87031.782,6142.219
2003/03/01,501.784,2197.936,86182.176,5685.95
2003/04/01,456.036,1743.53,79312.222,5808.019
2003/05/01,452.314,1514.697,83889.216,5438.872
2003/06/01,455.209,1368.369,90507.648,5781.514
2003/07/01,494.995,1600.484,100380.515,6026.601
2003/08/01,504.932,1651.58,101871.669,6128.604
2003/09/01,457.516,1428.554,91509.592,6026.362
2003/10/01,470.535,1553.189,88394.926,5883.941
2003/11/01,472.859,1753.642,88947.222,5599.247
2003/12/01,535.426,2263.659,97807.773,6043.696
2004/01/01,559.451,2675.834,99807.875,6143.119
2004/02/01,520.683,2511.097,90233.479,6194.886
2004/03/01,502.63,2100.921,86075.842,5946.652
2004/04/01,463.868,1745.171,79645.136,5998.155
2004/05/01,476.461,1573.043,87694.373,6042.844
2004/06/01,475.199,1483.684,92975.548,6237.751
2004/07/01,502.244,1584.933,100663.512,6333.693
2004/08/01,499.1,1577.962,99319.155,6453.794
2004/09/01,467.843,1482.15,92548.059,6275.778
2004/10/01,476.801,1557.224,89025.608,6220.232
2004/11/01,485.559,1782.796,89666.526,6072.007
2004/12/01,547.321,2327.73,99599.425,6151.008
2005/01/01,552.735,2561.858,99403.225,6168.263
2005/02/01,494.06,2242.986,87720.533,6019.815
2005/03/01,521.909,2205.787,91150.681,6181.072
2005/04/01,460.803,1724.877,80859.706,5492.85
2005/05/01,470.781,1522.613,86367.787,5831.512
2005/06/01,486.697,1534.122,96504.417,6470.999999999999
2005/07/01,513.079,1686.609,103428.775,6115.888
2005/08/01,520.797,1695.102,104549.477,6677.788
2005/09/01,472.741,1422.495,95689.525,5827.921
2005/10/01,473.524,1428.227,91469.168,5642.156
2005/11/01,477.808,1663.4,89018.317,5791.476
2005/12/01,552.649,2326.36,99816,6194.936
2006/01/01,520.899,2165.268,94621.37,5826.413
2006/02/01,486.053,2144.378,88231.349,5704.393
2006/03/01,511.208,2126.369,89877.102,5661.501
2006/04/01,453.558,1681.005,79419.116,5427.854
2006/05/01,467.403,1526.297,87490.378,5698.924
2006/06/01,480.325,1550.879,94297.71,6050.09
2006/07/01,514.014,1758.733,104145.4,5711.509
2006/08/01,523.35,1751.683,105198.209,6322.832
2006/09/01,465.847,1462.07,91333.887,5977.376
2006/10/01,485.446,1644.231,91199.139,5899.062
2006/11/01,479.731,1765.375,89548.183,5952.753
2006/12/01,527.534,2122.784,96929.919,5648.337
